Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8076666666666666,0.7076355036089734,0.6868250539956804,0.23963828183873398,0.3553072625698324,0.32444311464457076
Decision Tree,0.8101666666666667,0.7213108832329124,0.625,0.3541823662396383,0.4521404521404521,0.3683257393586253
KNN,0.7928333333333333,0.7015710673204677,0.548723897911833,0.35644310474755087,0.4321608040201005,0.3232672232965524
Naive Bayes,0.416,0.6515671244531792,0.249597423510467,0.8176337603617182,0.3824462460345435,0.1110873771184327
Random Forest,0.8153333333333334,0.7678352658758463,0.6557610241820768,0.3474001507159005,0.4541871921182266,0.3814737493819271
